date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST,peTTM,pbMRQ
2005-03-21,sh.600703,0.2936024000,0.2991570400,0.2936024000,0.2975700000,0.2975700000,158200,593868.0000,2,0.270029,1,0.000000,0,14.522765,1.724304
2005-03-22,sh.600703,0.2975700000,0.3015376000,0.2856672000,0.2856672000,0.2975700000,205000,756042.0000,2,0.349912,1,-4.000000,0,13.941854,1.655332
2005-03-23,sh.600703,0.2856672000,0.2912218400,0.2816996000,0.2864607200,0.2856672000,207686,752109.0000,2,0.354496,1,0.280000,0,13.980582,1.659930
2005-03-24,sh.600703,0.2872542400,0.2943959200,0.2856672000,0.2943959200,0.2864607200,143699,525760.0000,2,0.245278,1,2.770000,0,14.367856,1.705911
2005-03-25,sh.600703,0.2959829600,0.3015376000,0.2936024000,0.2951894400,0.2943959200,214457,801177.0000,2,0.366054,1,0.270000,0,14.406583,1.710509
2005-03-28,sh.600703,0.2959829600,0.2959829600,0.2840801600,0.2896348000,0.2951894400,222529,806070.0000,2,0.379832,1,-1.880000,0,14.135491,1.678322
2005-03-29,sh.600703,0.2912218400,0.2928088800,0.2880477600,0.2880477600,0.2896348000,169800,620266.0000,2,0.289829,1,-0.550000,0,14.058037,1.669126
2005-03-30,sh.600703,0.2856672000,0.2856672000,0.2697968000,0.2705903200,0.2880477600,322200,1129631.0000,2,0.549959,1,-6.060000,0,13.206034,1.567967
2005-03-31,sh.600703,0.2666227200,0.2745579200,0.2666227200,0.2737644000,0.2705903200,139000,474602.0000,2,0.237257,1,1.170000,0,13.360944,1.586359
2005-04-01,sh.600703,0.2737644000,0.2888412800,0.2690032800,0.2816996000,0.2737644000,340783,1189653.0000,2,0.581678,1,2.900000,0,13.748218,1.632341
2005-04-04,sh.600703,0.2816996000,0.2848736800,0.2729708800,0.2769384800,0.2816996000,220500,772272.0000,2,0.376368,1,-1.690000,0,13.515853,1.604752
2005-04-05,sh.600703,0.2777320000,0.2801125600,0.2721773600,0.2729708800,0.2769384800,107800,373025.0000,2,0.184002,1,-1.430000,0,13.322216,1.581761
2005-04-06,sh.600703,0.2745579200,0.2777320000,0.2666227200,0.2721773600,0.2729708800,235759,810991.0000,2,0.402414,1,-0.290000,0,13.283489,1.577163
2005-04-07,sh.600703,0.2721773600,0.2856672000,0.2721773600,0.2824931200,0.2721773600,554448,1958815.0000,2,0.946380,1,3.790000,0,13.786945,1.636939
2005-04-08,sh.600703,0.2816996000,0.2904283200,0.2801125600,0.2888412800,0.2824931200,408655,1473827.0000,2,0.697528,1,2.250000,0,14.096764,1.673724
2005-04-11,sh.600703,0.2912218400,0.2920153600,0.2832866400,0.2896348000,0.2888412800,375422,1363429.0000,2,0.640803,1,0.270000,0,14.135491,1.678322
2005-04-12,sh.600703,0.2880477600,0.2904283200,0.2793190400,0.2809060800,0.2896348000,410000,1468442.0000,2,0.699823,1,-3.010000,0,13.709490,1.627743
2005-04-13,sh.600703,0.2840801600,0.2967764800,0.2840801600,0.2928088800,0.2809060800,634897,2315393.0000,2,1.083697,1,4.240000,0,14.290401,1.696715
2005-04-14,sh.600703,0.2967764800,0.2983635200,0.2864607200,0.2872542400,0.2928088800,743724,2742263.0000,2,1.269452,1,-1.900000,0,14.019309,1.664528
2005-04-15,sh.600703,0.2856672000,0.2856672000,0.2705903200,0.2713838400,0.2872542400,476664,1652788.0000,2,0.813611,1,-5.520000,0,13.244762,1.572565
2005-04-18,sh.600703,0.2658292000,0.2666227200,0.2444041600,0.2459912000,0.2713838400,1265131,3963042.0000,2,2.159435,1,-9.360000,0,12.005486,1.425424
2005-04-19,sh.600703,0.2404365600,0.2483717600,0.2364689600,0.2436106400,0.2459912000,473119,1443397.0000,2,0.807560,1,-0.970000,0,11.889304,1.411630
2005-04-20,sh.600703,0.2436106400,0.2444041600,0.2325013600,0.2340884000,0.2436106400,495512,1479987.0000,2,0.845783,1,-3.910000,0,11.424575,1.356452
2005-04-21,sh.600703,0.2325013600,0.2356754400,0.2229791200,0.2237726400,0.2340884000,479360,1376795.0000,2,0.818213,1,-4.410000,0,10.921119,1.296676
2005-04-22,sh.600703,0.2205985600,0.2269467200,0.2174244800,0.2213920800,0.2237726400,476000,1331725.0000,2,0.812478,1,-1.060000,0,10.804937,1.282882
2005-04-25,sh.600703,0.2301208000,0.2301208000,0.2102828000,0.2150439200,0.2213920800,714614,1976118.0000,2,1.219765,1,-2.870000,0,10.495118,1.246097
2005-04-26,sh.600703,0.2134568800,0.2237726400,0.2134568800,0.2205985600,0.2150439200,396069,1088458.0000,2,0.676045,1,2.580000,0,-4.595212,-3.395160
2005-04-27,sh.600703,0.2205985600,0.2221856000,0.2094892800,0.2110763200,0.2205985600,427710,1150790.0000,2,0.730052,1,-4.320000,0,-4.396858,-3.248606
2005-04-28,sh.600703,0.2063152000,0.2198050400,0.2007605600,0.2158374400,0.2110763200,597321,1613659.0000,2,1.019559,1,2.260000,0,-3.983140,1.459703
2005-04-29,sh.600703,0.2142504000,0.2174244800,0.2071087200,0.2086957600,0.2158374400,352900,949447.0000,2,0.602360,1,-3.310000,0,-3.851345,1.411404
2005-05-09,sh.600703,0.2023476000,0.2086957600,0.1888577600,0.1888577600,0.2086957600,517300,1287870.0000,2,0.882972,1,-9.510000,0,-3.485247,1.277240
2005-05-10,sh.600703,0.1896512800,0.1936188800,0.1817160800,0.1928253600,0.1888577600,401570,948044.0000,2,0.685434,1,2.100000,0,-3.558467,1.304073
2005-05-11,sh.600703,0.1928253600,0.1928253600,0.1880642400,0.1920318400,0.1928253600,226364,542271.0000,2,0.386378,1,-0.410000,0,-3.543823,1.298707
2005-05-12,sh.600703,0.1912383200,0.1967929600,0.1872707200,0.1952059200,0.1920318400,266928,647269.0000,2,0.455616,1,1.650000,0,-3.602399,1.320173
2005-05-13,sh.600703,0.1936188800,0.2023476000,0.1928253600,0.2023476000,0.1952059200,385300,960743.0000,2,0.657663,1,3.660000,0,-3.734194,1.368472
2005-05-16,sh.600703,0.2229791200,0.2229791200,0.2229791200,0.2229791200,0.2023476000,803097,2256703.0000,2,1.370795,1,10.200000,0,-4.114935,1.508002
2005-05-17,sh.600703,0.2301208000,0.2356754400,0.2237726400,0.2261532000,0.2229791200,3765487,10915718.0000,2,6.427258,1,1.420000,0,-4.173511,1.529469
