date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST,peTTM,pbMRQ,pe_rank,pe_rank_percentile
2005-07-12,sz.000516,0.38492653,0.40261462,0.38155737,0.39924546,0.38492653,111200.0,519121.0,2,0.2559,1,3.72,0,20.217576,1.468569,11,22.0
2005-07-13,sz.000516,0.39840317,0.39840317,0.39250714,0.39671859,0.39924546,86340.0,405623.8,2,0.198691,1,-0.63,0,20.089617,1.459275,7,14.0
2005-07-14,sz.000516,0.39166485,0.39924546,0.39166485,0.39334943,0.39671859,50511.0,237600.37,2,0.116239,1,-0.85,0,19.919004,1.446882,6,12.0
2005-07-15,sz.000516,0.39671859,0.40008775,0.38324195,0.38998027,0.39334943,116950.0,540057.9,2,0.269132,1,-0.86,0,19.748392,1.434489,5,10.0
2005-07-18,sz.000516,0.38408424,0.38408424,0.36134241,0.36302699,0.38998027,239099.0,1046699.44,2,0.550229,1,-6.91,0,18.383492,1.335345,2,4.0
2005-07-19,sz.000516,0.3621847,0.36639615,0.3537618,0.36134241,0.36302699,91011.0,387717.83,2,0.20944,1,-0.46,0,18.298186,1.329148,2,4.0
2005-07-20,sz.000516,0.36134241,0.36723844,0.35881554,0.36386928,0.36134241,119232.0,513328.64,2,0.274384,1,0.7,0,18.426145,1.338443,4,8.0
2005-07-21,sz.000516,0.36639615,0.37397676,0.3621847,0.37144989,0.36386928,180419.0,785211.12,2,0.415191,1,2.08,0,18.810023,1.366327,5,10.0
2005-07-22,sz.000516,0.37313447,0.38155737,0.36723844,0.37650363,0.37144989,230050.0,1025722.57,2,0.529405,1,1.36,0,19.065942,1.384917,6,12.0
2005-07-25,sz.000516,0.37650363,0.37650363,0.37144989,0.37481905,0.37650363,79093.0,350626.45,2,0.182013,1,-0.45,0,18.980636,1.37872,6,12.0
2005-07-26,sz.000516,0.37313447,0.38492653,0.37313447,0.38408424,0.37481905,168261.0,761260.72,2,0.387212,1,2.47,0,19.44982,1.412801,8,16.0
2005-07-27,sz.000516,0.38239966,0.39166485,0.3790305,0.39166485,0.38408424,180181.0,826147.44,2,0.414643,1,1.97,0,19.833698,1.440685,13,26.0
2005-07-28,sz.000516,0.39419172,0.39419172,0.38408424,0.38576882,0.39166485,220701.0,1017805.56,2,0.50789,1,-1.51,0,19.535126,1.418998,10,20.0
2005-07-29,sz.000516,0.38408424,0.39250714,0.38408424,0.39082256,0.38576882,187410.0,864830.03,2,0.431279,1,1.31,0,19.791045,1.437587,14,28.0
2005-08-01,sz.000516,0.38155737,0.38913798,0.38155737,0.38576882,0.39082256,135732.0,622083.9,2,0.312354,1,-1.293102,0,18.685578,1.466309,5,10.0
2005-08-02,sz.000516,0.39082256,0.39419172,0.38661111,0.39250714,0.38576882,205567.0,953511.04,2,0.473063,1,1.746723,0,19.011964,1.491921,8,16.0
2005-08-03,sz.000516,0.39419172,0.40261462,0.39419172,0.39756088,0.39250714,405810.0,1920192.66,2,0.933874,1,1.287552,0,19.256753,1.511131,10,20.0
2005-08-04,sz.000516,0.39166485,0.39671859,0.39166485,0.3958763,0.39756088,182125.0,851981.73,2,0.419117,1,-0.423728,0,19.175156,1.504728,10,20.0
2005-08-05,sz.000516,0.39419172,0.40851065,0.39419172,0.40851065,0.3958763,425798.0,2034635.49,2,0.979871,1,3.191492,0,19.78713,1.552751,18,36.0
2005-08-08,sz.000516,0.41807077,0.41807077,0.4085099,0.41198658,0.4085099,371101.0,1759012.71,2,0.853999,1,0.851063,0,19.338349,1.517534,12,24.0
2005-08-09,sz.000516,0.41024824,0.41807077,0.40677156,0.4172016,0.41198658,421492.0,2002296.88,2,0.969962,1,1.265832,0,19.583139,1.536743,17,34.0
2005-08-10,sz.000516,0.41807077,0.4258933,0.41633243,0.42502413,0.4172016,703261.0,3407366.04,2,1.618386,1,1.874993,0,19.950322,1.565557,25,50.0
2005-08-11,sz.000516,0.4258933,0.42850081,0.41807077,0.4258933,0.42502413,533607.0,2597810.43,2,1.227968,1,0.204504,0,19.991121,1.568759,26,52.0
2005-08-12,sz.000516,0.4258933,0.44675338,0.42415496,0.44414587,0.4258933,1719860.0,8648268.0,2,3.957843,1,4.285715,0,20.847883,1.635991,35,70.0
2005-08-15,sz.000516,0.4432767,0.45892176,0.43806168,0.44762255,0.44414587,937392.0,4815148.38,2,2.157182,1,0.782778,0,21.011076,1.648797,35,70.0
2005-08-16,sz.000516,0.44849172,0.45023006,0.43632334,0.44936089,0.44762255,630970.0,3212116.88,2,1.452025,1,0.388349,0,21.092672,1.6552,35,70.0
2005-08-17,sz.000516,0.44849172,0.46587512,0.4432767,0.46587512,0.44936089,1083866.0,5701267.56,2,2.494256,1,3.67505,0,21.867838,1.71603,41,82.0
2005-08-18,sz.000516,0.4693518,0.4693518,0.44066919,0.45370674,0.46587512,1217204.0,6390668.2,2,2.801101,1,-2.611947,0,21.296663,1.671208,36,72.0
2005-08-19,sz.000516,0.4432767,0.45892176,0.43023915,0.45544508,0.45370674,1318143.0,6780324.16,2,3.033388,1,0.383141,0,21.37826,1.677611,37,74.0
2005-08-22,sz.000516,0.45805259,0.50064192,0.4519684,0.4867352,0.45544508,3919021.0,22113005.96,2,9.018682,1,6.870232,0,22.846995,1.792867,51,102.0
2005-08-23,sz.000516,0.48412769,0.48499686,0.4693518,0.48238935,0.4867352,947154.0,5197977.56,2,2.179647,1,-0.892852,0,22.643004,1.776859,50,100.0
2005-08-24,sz.000516,0.48847354,0.49716524,0.46500595,0.48238935,0.48238935,2560276.0,14119463.36,2,5.891858,1,0.0,0,22.643004,1.776859,50,100.0
2005-08-25,sz.000516,0.48499686,0.52845536,0.47630516,0.5128103,0.48238935,3417044.0,19722303.23,2,7.863503,1,6.306304,0,24.070941,1.888913,51,102.0
2005-08-26,sz.000516,0.50238026,0.51107196,0.48934271,0.50324943,0.5128103,1366382.0,7882946.21,2,3.144399,1,-1.864409,0,23.622161,1.853696,50,100.0
2005-08-29,sz.000516,0.49716524,0.49977275,0.47978184,0.48760437,0.50324943,741646.0,4170418.08,2,1.706719,1,-3.108805,0,22.887793,1.796068,49,98.0
2005-08-30,sz.000516,0.48325852,0.4867352,0.47195931,0.4780435,0.48760437,596350.0,3306594.0,2,1.372356,1,-1.960787,0,22.439013,1.760851,45,90.0
2005-08-31,sz.000516,0.48325852,0.49108105,0.46761346,0.4780435,0.4780435,746503.0,4117588.47,2,1.717897,1,0.0,0,22.439013,1.760851,45,90.0
2005-09-01,sz.000516,0.47891267,0.49021188,0.4780435,0.49021188,0.4780435,999603.0,5565296.76,2,2.300345,1,2.545452,0,23.010188,1.805673,49,98.0
2005-09-02,sz.000516,0.49368856,0.49716524,0.48499686,0.4867352,0.49021188,572613.0,3214428.52,2,1.317731,1,-0.709219,0,22.846995,1.792867,47,94.0
2005-09-05,sz.000516,0.4867352,0.50064192,0.48586603,0.49977275,0.4867352,769568.0,4383290.66,2,1.770975,1,2.678573,0,23.458968,1.84089,49,98.0
2005-09-06,sz.000516,0.5041186,0.50759528,0.47630516,0.48325852,0.49977275,701490.0,3990533.96,2,1.61431,1,-3.304349,0,22.683802,1.780061,44,88.0
2005-09-07,sz.000516,0.47891267,0.4954269,0.47369765,0.4954269,0.48325852,608863.0,3393262.81,2,1.401151,1,2.517983,0,23.254977,1.824882,48,96.0
