date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST,peTTM,pbMRQ
2005-05-10,sz.000516,0.4000877500,0.4026146200,0.3874534000,0.4026146200,0.4017723300,117500,552386.3300,2,0.270398,1,0.210000,0,20.388189,1.480962
2005-05-11,sz.000516,0.4000877500,0.4085106500,0.3891379800,0.4026146200,0.4026146200,127500,597650.0000,2,0.293411,1,0.000000,0,20.388189,1.480962
2005-05-12,sz.000516,0.4000877500,0.4026146200,0.3925071400,0.3975608800,0.4026146200,142789,672792.4200,2,0.328594,1,-1.260000,0,20.132270,1.462373
2005-05-13,sz.000516,0.3975608800,0.4160912600,0.3899802700,0.4127221000,0.3975608800,237016,1138521.5900,2,0.545435,1,3.810000,0,20.900026,1.518141
2005-05-16,sz.000516,0.4085106500,0.4160912600,0.4042992000,0.4042992000,0.4127221000,163335,793182.4700,2,0.375876,1,-2.040000,0,20.473495,1.487159
2005-05-17,sz.000516,0.4000877500,0.4194604200,0.3992454600,0.4169335500,0.4042992000,194974,957393.4700,2,0.448686,1,3.130000,0,21.113291,1.533633
2005-05-18,sz.000516,0.4144066800,0.4270410300,0.4144066800,0.4228295800,0.4169335500,360643,1804836.3200,2,0.829933,1,1.410000,0,21.411863,1.555320
2005-05-19,sz.000516,0.4379908000,0.4464137000,0.4253564500,0.4278833200,0.4228295800,577895,2961843.6300,2,1.329886,1,1.200000,0,21.667782,1.573910
2005-05-20,sz.000516,0.4236718700,0.4295679000,0.4219872900,0.4270410300,0.4278833200,177300,897677.9100,2,0.408013,1,-0.200000,0,21.625129,1.570812
2005-05-23,sz.000516,0.4253564500,0.4261987400,0.3933494300,0.3950340100,0.4270410300,226100,1092196.2200,2,0.520315,1,-7.500000,0,20.004311,1.453078
2005-05-24,sz.000516,0.3866111100,0.4110375200,0.3866111100,0.4059837800,0.3950340100,268219,1283259.4200,2,0.617241,1,2.770000,0,20.558801,1.493355
2005-05-25,sz.000516,0.4042992000,0.4101952300,0.3992454600,0.4059837800,0.4059837800,142780,686643.9000,2,0.328574,1,0.000000,0,20.558801,1.493355
2005-05-26,sz.000516,0.4042992000,0.4135643900,0.4042992000,0.4127221000,0.4059837800,201300,978602.6000,2,0.463243,1,1.660000,0,20.900026,1.518141
2005-05-27,sz.000516,0.4127221000,0.4169335500,0.4042992000,0.4042992000,0.4127221000,63600,309047.0000,2,0.146360,1,-2.040000,0,20.473495,1.487159
2005-05-30,sz.000516,0.4034569100,0.4093529400,0.3967185900,0.4068260700,0.4042992000,115058,552036.2900,2,0.264778,1,0.630000,0,20.601454,1.496454
2005-05-31,sz.000516,0.4034569100,0.4127221000,0.4034569100,0.4101952300,0.4068260700,62950,305200.5000,2,0.144864,1,0.830000,0,20.772067,1.508847
2005-06-01,sz.000516,0.4068260700,0.4110375200,0.4000877500,0.4042992000,0.4101952300,75442,362057.7000,2,0.173612,1,-1.440000,0,20.473495,1.487159
